gender,age,time_of_day,date
0,48,16,0801
0,34,16,0801
0,50,16,0801
0,48,16,0801
0,35,16,0801
0,46,16,0801
0,43,16,0801
0,39,16,0801
0,52,16,0801
0,30,16,0801
0,48,16,0801
0,26,16,0801
0,31,16,0801
0,35,16,0801
0,61,16,0801
0,59,16,0801
0,46,16,0801
0,22,16,0801
0,31,16,0801
0,31,16,0801
0,32,16,0801
0,41,16,0801
0,53,16,0801
0,45,16,0801
0,29,16,0801
0,52,16,0801
0,59,16,0801
0,36,16,0801
0,27,16,0801
0,38,16,0801
0,38,16,0801
0,39,16,0801
0,31,16,0801
0,50,16,0801
0,39,16,0801
0,40,16,0801
0,30,16,0801
0,44,16,0801
0,55,16,0801
0,23,16,0801
0,48,16,0801
0,34,16,0801
0,45,16,0801
0,47,16,0801
0,56,16,0801
0,32,16,0801
0,22,16,0801
0,31,16,0801
0,53,16,0801
0,48,16,0801
0,52,16,0801
0,49,16,0801
0,45,16,0801
0,30,16,0801
0,52,16,0801
0,49,16,0801
0,59,16,0801
0,38,16,0801
0,37,16,0801
0,39,16,0801
0,26,16,0801
0,49,16,0801
0,37,16,0801
0,39,16,0801
0,27,16,0801
0,32,16,0801
0,66,16,0801
0,29,16,0801
0,35,16,0801
0,63,16,0801
0,41,16,0801
0,42,16,0801
0,46,16,0801
0,32,16,0801
0,43,16,0801
0,25,16,0801
0,33,16,0801
0,47,16,0801
0,28,16,0801
0,33,16,0801
0,25,16,0801
0,29,17,0801
0,34,17,0801
0,34,17,0801
0,40,17,0801
0,36,17,0801
0,48,17,0801
0,40,17,0801
0,39,17,0801
0,31,17,0801
0,33,17,0801
0,40,17,0801
0,45,17,0801
0,33,17,0801
0,32,17,0801
0,44,17,0801
0,40,17,0801
0,34,17,0801
0,39,17,0801
0,40,17,0801
0,34,17,0801
0,28,17,0801
0,29,17,0801
0,25,17,0801
0,40,17,0801
0,27,17,0801
0,34,17,0801
0,38,17,0801
0,31,16,0801
0,26,17,0801
0,32,17,0801
0,46,17,0801
0,42,17,0801
0,29,17,0801
0,38,17,0801
0,28,17,0801
0,31,17,0801
0,26,17,0801
0,35,17,0801
0,23,17,0801
0,25,17,0801
0,39,17,0801
0,40,17,0801
0,30,17,0801
0,49,17,0801
0,26,17,0801
0,27,17,0801
0,31,17,0801
0,31,17,0801
0,26,17,0801
0,28,17,0801
0,32,17,0801
0,33,17,0801
0,33,17,0801
0,44,17,0801
0,40,17,0801
0,59,17,0801
0,30,17,0801
0,38,17,0801
0,28,17,0801
0,28,17,0801
0,46,17,0801
0,31,17,0801
0,33,17,0801
0,32,17,0801
0,32,17,0801
0,46,17,0801
0,55,17,0801
0,31,17,0801
0,29,17,0801
0,53,17,0801
0,31,17,0801
0,40,17,0801
0,49,17,0801
0,43,17,0801
0,51,17,0801
0,44,17,0801
