gender,age,month,dow,hod,station_id,distance,duration,speed
0,1,0,6,3,69,4,3,3
1,1,1,2,5,69,4,2,5
1,1,1,5,4,69,4,2,4
1,1,1,1,4,69,4,2,4
0,2,1,2,6,69,4,2,4
1,1,1,0,5,69,4,2,4
0,2,2,0,4,69,4,2,4
0,2,1,1,6,69,4,2,4
0,3,2,6,6,74,3,2,4
0,3,1,4,7,74,3,2,4
0,1,1,4,7,74,3,1,5
0,3,1,2,6,74,3,2,3
0,3,2,2,3,76,4,2,6
0,1,1,1,6,76,4,2,4
0,2,2,5,2,76,4,2,5
0,2,1,1,5,76,4,2,5
0,1,2,6,7,76,4,3,3
0,3,2,2,3,76,4,2,5
1,2,1,6,7,76,4,3,3
0,3,2,1,3,76,4,2,5
1,2,1,1,5,76,4,2,5
1,2,2,3,2,76,4,1,6
1,1,0,6,3,76,4,2,5
1,2,2,6,4,76,4,2,4
0,2,1,3,7,76,4,2,4
0,2,1,3,7,77,4,3,3
0,2,1,4,5,77,4,3,4
0,4,1,2,3,77,4,3,3
0,3,2,6,4,80,4,3,4
0,1,1,3,5,85,3,1,5
0,1,2,5,5,85,3,1,4
0,2,1,4,2,85,3,1,5
0,1,2,5,6,85,3,1,4
0,1,1,4,3,85,3,1,3
0,5,2,4,6,85,3,2,2
1,1,0,0,6,85,3,1,4
1,1,2,0,4,85,3,2,3
0,1,1,3,5,85,3,1,4
1,2,2,6,5,85,3,2,3
0,3,1,1,3,85,3,1,4
1,1,2,3,6,85,3,1,4
0,2,1,0,6,85,3,1,3
1,1,2,4,4,85,3,1,5
0,2,1,0,6,85,3,1,3
0,0,2,6,6,85,3,2,2
0,1,1,1,2,85,3,1,4
0,3,2,5,6,85,3,1,4
0,2,1,1,6,85,3,1,4
0,4,2,5,3,85,3,1,5
0,2,1,1,6,85,3,2,3
0,1,1,6,4,85,3,2,3
1,1,1,4,6,85,3,1,4
0,1,1,1,4,85,3,1,5
0,1,1,4,4,85,3,2,3
0,1,2,4,5,85,3,1,4
1,1,1,3,3,85,3,5,1
0,1,1,2,2,85,3,1,5
1,1,1,5,6,85,3,1,5
0,2,1,1,6,85,3,2,3
1,1,1,1,4,85,3,1,5
1,1,1,6,3,85,3,2,3
1,1,1,3,6,85,3,1,4
1,3,1,1,4,85,3,1,5
1,1,1,1,6,85,3,2,3
0,1,1,0,5,86,4,6,1
1,2,2,5,5,87,2,0,6
0,1,1,6,4,87,2,1,5
1,1,1,6,0,87,2,1,3
0,2,1,6,4,87,2,1,5
1,1,0,6,5,87,2,1,4
0,2,2,4,2,87,2,0,6
1,3,2,6,3,87,2,1,5
0,1,0,6,5,87,2,1,4
1,3,2,0,3,87,2,1,5
0,1,1,3,4,87,2,0,5
0,1,1,4,5,87,2,5,1
0,1,0,0,5,87,2,1,4
0,1,1,6,0,87,2,1,3
0,3,1,6,6,87,2,3,2
0,2,1,6,6,87,2,2,2
0,1,1,1,3,87,2,0,6
0,2,1,6,6,87,2,0,6
0,1,1,1,6,87,2,1,5
0,1,2,1,4,90,4,2,5
0,3,1,3,3,90,4,2,5
0,3,1,0,4,90,4,2,5
0,3,1,5,6,90,4,3,3
1,1,0,0,3,90,4,2,5
0,2,1,0,5,90,4,2,5
1,2,2,2,5,90,4,2,5
0,2,2,3,7,90,4,2,5
0,4,1,1,4,90,4,2,5
0,4,2,3,3,90,4,2,5
0,4,2,3,3,90,4,2,6
0,4,1,5,2,91,4,2,4
0,4,1,3,2,91,4,2,5
0,4,0,5,2,91,4,2,4
0,1,1,0,5,93,2,1,4
1,1,2,6,3,93,2,1,3
0,1,2,0,5,93,2,2,2
1,1,1,6,5,93,2,2,2
1,1,1,3,6,93,2,2,3
0,1,1,2,7,94,1,4,1
1,3,1,4,5,94,1,1,2
0,2,1,3,3,94,1,0,4
1,1,1,6,4,94,1,2,1
0,2,1,3,3,94,1,0,3
0,2,1,3,4,94,1,1,1
0,1,1,4,6,94,1,2,1
1,1,2,4,6,94,1,0,3
0,2,1,1,4,94,1,1,2
0,4,2,6,4,94,1,4,1
0,2,1,1,4,94,1,0,2
0,1,1,6,5,94,1,0,3
0,2,1,1,4,94,1,0,2
0,1,2,0,5,94,1,3,1
0,2,1,6,5,94,1,0,3
0,1,1,6,5,94,1,1,2
0,1,0,5,3,94,1,3,1
0,2,1,3,3,94,1,0,4
0,4,1,4,5,97,5,4,2
0,5,1,1,4,97,5,3,3
0,1,0,0,6,97,5,3,3
1,3,2,5,3,97,5,1,6
1,3,1,1,4,97,5,3,3
1,2,1,3,5,97,5,3,5
1,1,2,2,3,98,4,2,3
0,3,2,1,2,98,4,1,5
0,3,2,4,2,98,4,2,5
0,2,2,5,5,98,4,2,4
0,3,1,1,2,98,4,2,5
0,1,2,6,6,99,3,2,3
0,2,1,6,4,99,3,3,3
1,2,1,2,6,99,3,2,4
0,1,1,5,6,99,3,1,5
1,4,2,4,5,99,3,3,3
0,3,2,6,4,99,3,1,4
1,2,1,3,5,99,3,1,5
0,1,1,0,3,99,3,1,4
1,2,1,6,4,99,3,3,3
0,2,1,3,6,99,3,1,5
1,1,1,1,6,99,3,2,4
0,1,1,3,6,99,3,1,5
1,2,2,5,6,99,3,2,4
0,4,2,2,4,99,3,1,5
0,1,1,2,7,99,3,2,3
0,1,2,6,6,99,3,2,3
1,2,2,0,3,99,3,2,4
0,2,2,1,3,99,3,1,4
1,2,2,5,6,99,3,1,5
0,1,2,3,5,99,3,2,4
0,2,1,2,6,99,3,1,5
0,2,2,3,6,110,3,1,4
0,3,2,6,5,114,3,3,2
0,1,2,6,5,114,3,1,5
1,3,2,1,6,114,3,1,5
1,3,2,1,6,114,3,1,5
1,1,2,1,7,114,3,1,4
1,3,2,0,5,115,2,1,3
1,2,2,4,6,115,2,1,4
0,1,2,6,6,115,2,1,3
0,5,2,1,3,115,2,1,3
0,4,2,4,6,115,2,0,5
0,1,1,1,6,115,2,1,4
0,2,2,3,6,115,2,3,1
0,3,1,0,6,115,2,1,4
0,3,2,4,6,115,2,1,4
0,1,1,2,6,115,2,2,2
0,4,1,6,4,115,2,1,4
0,3,1,1,5,115,2,1,4
1,1,2,6,5,117,2,2,2
0,2,2,1,4,117,2,1,3
1,3,2,6,6,118,2,3,1
0,3,2,6,6,118,2,3,1
0,2,2,6,7,123,4,4,2
0,2,2,0,6,126,2,0,4
0,2,2,6,4,126,2,2,1
0,2,2,0,5,126,2,1,3
0,1,2,5,6,126,2,2,2
0,1,2,5,4,126,2,1,2
